image_idx,sheet_id,label,filename,width_px,height_px,year,method,instrument,crop_filename,crop_w,crop_h,pct_retained,margin_left,margin_right,margin_top,margin_bottom
62,34-XXIII-p,KK 083-04-01/085-04-10_064 - 05978 - 063,062_KK 083-04-01-085-04-10_064 - 05978 - 063.jpg,5063,6076,1932-1933,aerial,luchtfoto,crop_062.jpg,4390,4344,62.0,0.07031,0.06261,0.07768,0.20738
63,34-XXIV-a,KK 083-04-01/085-04-10_065 - 05978 - 064,063_KK 083-04-01-085-04-10_065 - 05978 - 064.jpg,5045,6097,1934,aerial,luchtfoto,crop_063.jpg,4374,4358,62.0,0.07056,0.06244,0.07807,0.20715
64,34-XXIV-b,KK 083-04-01/085-04-10_066 - 05978 - 065,064_KK 083-04-01-085-04-10_066 - 05978 - 065.jpg,5037,6084,1934,aerial,luchtfoto,crop_064.jpg,4367,4367,62.2,0.06988,0.06313,0.07561,0.20661
65,34-XXIV-cd,KK 083-04-01/085-04-10_067 - 05978 - 066,065_KK 083-04-01-085-04-10_067 - 05978 - 066.jpg,7079,6007,1932,terrestrial,theodoliet- en bergboussole,crop_065.jpg,6386,4348,65.3,0.04972,0.04817,0.06859,0.20759
66,34-XXIV-e,KK 083-04-01/085-04-10_068 - 05978 - 067,066_KK 083-04-01-085-04-10_068 - 05978 - 067.jpg,5028,6071,1932,terrestrial,theodoliet- en bergboussole,crop_066.jpg,4360,4340,62.0,0.07001,0.06285,0.07775,0.20738
67,34-XXIV-f,KK 083-04-01/085-04-10_069 - 05978 - 068,067_KK 083-04-01-085-04-10_069 - 05978 - 068.jpg,5052,6103,1932,terrestrial,theodoliet- en bergboussole,crop_067.jpg,4380,4362,62.0,0.06968,0.06334,0.07799,0.20728
68,34-XXIV-g,KK 083-04-01/085-04-10_070 - 05978 - 069,068_KK 083-04-01-085-04-10_070 - 05978 - 069.jpg,5039,6082,1931-1933,terrestrial,theodoliet- en bergboussole,crop_068.jpg,4369,4347,62.0,0.06986,0.06311,0.07826,0.20701
69,34-XXIV-h,KK 083-04-01/085-04-10_071 - 05978 - 070,069_KK 083-04-01-085-04-10_071 - 05978 - 070.jpg,5061,6109,1932,terrestrial,theodoliet- en bergboussole,crop_069.jpg,4388,4367,62.0,0.06955,0.06343,0.07792,0.20723
70,34-XXIV-i,KK 083-04-01/085-04-10_072 - 05978 - 071,070_KK 083-04-01-085-04-10_072 - 05978 - 071.jpg,5071,6093,1931-1932,terrestrial,theodoliet- en bergboussole,crop_070.jpg,4397,4355,62.0,0.0702,0.06271,0.07812,0.20713
71,34-XXIV-k,KK 083-04-01/085-04-10_073 - 05978 - 072,071_KK 083-04-01-085-04-10_073 - 05978 - 072.jpg,5049,6064,1931-1932,terrestrial,theodoliet- en bergboussole,crop_071.jpg,4377,4335,62.0,0.07051,0.06259,0.07784,0.20729
72,34-XXIV-l,KK 083-04-01/085-04-10_074 - 05978 - 073,072_KK 083-04-01-085-04-10_074 - 05978 - 073.jpg,5045,6108,1931,terrestrial,theodoliet- en bergboussole,crop_072.jpg,4374,4366,62.0,0.07056,0.06244,0.07793,0.20727
73,34-XXIV-m,KK 083-04-01/085-04-10_075 - 05978 - 074,073_KK 083-04-01-085-04-10_075 - 05978 - 074.jpg,5038,6070,1931,terrestrial,theodoliet- en bergboussole,crop_073.jpg,4368,4339,62.0,0.06987,0.06312,0.07842,0.20675
74,34-XXIV-n,KK 083-04-01/085-04-10_076 - 05978 - 075,074_KK 083-04-01-085-04-10_076 - 05978 - 075.jpg,5073,6101,1932,terrestrial,theodoliet- en bergboussole,crop_074.jpg,4398,4361,62.0,0.07018,0.06288,0.07802,0.20718
75,34-XXIV-o,KK 083-04-01/085-04-10_077 - 05978 - 076,075_KK 083-04-01-085-04-10_077 - 05978 - 076.jpg,5015,6071,1931,terrestrial,theodoliet- en bergboussole,crop_075.jpg,4348,4340,62.0,0.06939,0.06361,0.07775,0.20738
76,34-XXIV-p,KK 083-04-01/085-04-10_078 - 05978 - 077,076_KK 083-04-01-085-04-10_078 - 05978 - 077.jpg,5026,6108,1930-1931,terrestrial,theodoliet- en bergboussole,crop_076.jpg,4358,4366,62.0,0.07004,0.06287,0.07793,0.20727
77,34-XXIV-q,KK 083-04-01/085-04-10_079 - 05978 - 078,077_KK 083-04-01-085-04-10_079 - 05978 - 078.jpg,5010,6088,1930-1931,terrestrial,theodoliet- en bergboussole,crop_077.jpg,4344,4352,62.0,0.06946,0.06347,0.07753,0.20762
78,34-XXV-a,KK 083-04-01/085-04-10_080 - 05978 - 079,078_KK 083-04-01-085-04-10_080 - 05978 - 079.jpg,5029,6097,1929-1930,terrestrial,theodoliet- en bergboussole,crop_078.jpg,4360,4358,62.0,0.06999,0.06303,0.07807,0.20715
79,34-XXV-b,KK 083-04-01/085-04-10_081 - 05978 - 080,079_KK 083-04-01-085-04-10_081 - 05978 - 080.jpg,5055,6108,1928-1930,terrestrial,theodoliet- en bergboussole,crop_079.jpg,4383,4366,62.0,0.06963,0.0633,0.07793,0.20727
80,34-XXV-c,KK 083-04-01/085-04-10_082 - 05978 - 081,080_KK 083-04-01-085-04-10_082 - 05978 - 081.jpg,5037,6087,1930-1931,terrestrial,theodoliet- en bergboussole,crop_080.jpg,4367,4351,62.0,0.06988,0.06313,0.0782,0.207
81,34-XXV-d,KK 083-04-01/085-04-10_083 - 05978 - 082,081_KK 083-04-01-085-04-10_083 - 05978 - 082.jpg,5062,6082,1930,terrestrial,theodoliet- en bergboussole,crop_081.jpg,4389,4347,62.0,0.07033,0.06262,0.07826,0.20701
82,34-XXV-e,KK 083-04-01/085-04-10_084 - 05978 - 083,082_KK 083-04-01-085-04-10_084 - 05978 - 083.jpg,5063,6093,1928-1929,terrestrial,theodoliet- en bergboussole,crop_082.jpg,4390,4355,62.0,0.07031,0.06261,0.07812,0.20713
83,34-XXV-f,KK 083-04-01/085-04-10_085 - 05978 - 084,083_KK 083-04-01-085-04-10_085 - 05978 - 084.jpg,5040,6053,1928-1929,terrestrial,theodoliet- en bergboussole,crop_083.jpg,4370,4326,62.0,0.06984,0.0631,0.07798,0.20733
84,34-XXV-g,KK 083-04-01/085-04-10_086 - 05978 - 085,084_KK 083-04-01-085-04-10_086 - 05978 - 085.jpg,5024,6077,1928-1929,terrestrial,theodoliet- en bergboussole,crop_084.jpg,4356,4343,62.0,0.07006,0.0629,0.07833,0.20701
85,34-XXV-h,KK 083-04-01/085-04-10_087 - 05978 - 086,085_KK 083-04-01-085-04-10_087 - 05978 - 086.jpg,5039,6093,1928-1929,terrestrial,theodoliet- en bergboussole,crop_085.jpg,4369,4355,62.0,0.06986,0.06311,0.07812,0.20713
86,34-XXV-i,KK 083-04-01/085-04-10_088 - 05978 - 087,086_KK 083-04-01-085-04-10_088 - 05978 - 087.jpg,5014,6057,1928-1929,terrestrial,theodoliet- en bergboussole,crop_086.jpg,4348,4403,63.0,0.06941,0.06342,0.06604,0.20703
87,34-XXV-k,KK 083-04-01/085-04-10_089 - 05978 - 088,087_KK 083-04-01-085-04-10_089 - 05978 - 088.jpg,5062,6079,1929-1930,terrestrial,bergboussole,crop_087.jpg,4389,4345,62.0,0.07033,0.06262,0.0783,0.20694
88,34-XXV-l,KK 083-04-01/085-04-10_090 - 05978 - 089,088_KK 083-04-01-085-04-10_090 - 05978 - 089.jpg,5068,6104,1928-1929,terrestrial,bergboussole,crop_088.jpg,4394,4363,62.0,0.07024,0.06275,0.07798,0.20724
89,34-XXV-m,KK 083-04-01/085-04-10_091 - 05978 - 090,089_KK 083-04-01-085-04-10_091 - 05978 - 090.jpg,5027,6064,1928-1929,terrestrial,theodoliet- en bergboussole,crop_089.jpg,4359,4335,62.0,0.07002,0.06286,0.07784,0.20729
90,34-XXV-n,KK 083-04-01/085-04-10_092 - 05978 - 091,090_KK 083-04-01-085-04-10_092 - 05978 - 091.jpg,5064,6118,1930-1931,terrestrial,bergboussole,crop_090.jpg,4390,4373,62.0,0.0703,0.0628,0.0778,0.20742
91,34-XXV-o,KK 083-04-01/085-04-10_093 - 05978 - 092,091_KK 083-04-01-085-04-10_093 - 05978 - 092.jpg,5040,6100,1930-1931,terrestrial,bergboussole,crop_091.jpg,4370,4361,62.0,0.06984,0.0631,0.07803,0.20705
92,34-XXV-p,KK 083-04-01/085-04-10_094 - 05978 - 093,092_KK 083-04-01-085-04-10_094 - 05978 - 093.jpg,5055,6098,1929-1930,terrestrial,theodoliet- en bergboussole,crop_092.jpg,4383,4359,62.0,0.06963,0.0633,0.07806,0.20712
93,34-XXV-q,KK 083-04-01/085-04-10_095 - 05978 - 094,093_KK 083-04-01-085-04-10_095 - 05978 - 094.jpg,5048,6058,1928-1929,terrestrial,theodoliet- en bergboussole,crop_093.jpg,4376,4330,62.0,0.06973,0.06339,0.07791,0.20733
94,34-XXVI-a,KK 083-04-01/085-04-10_096 - 05978 - 095,094_KK 083-04-01-085-04-10_096 - 05978 - 095.jpg,5011,6069,1931,terrestrial,bergboussole,crop_094.jpg,4345,4338,62.0,0.07025,0.06266,0.07843,0.20679
95,34-XXVI-b,KK 083-04-01/085-04-10_097 - 05978 - 096,095_KK 083-04-01-085-04-10_097 - 05978 - 096.jpg,5027,6083,1930-1931,terrestrial,bergboussole,crop_095.jpg,4359,4348,62.0,0.07002,0.06286,0.07759,0.20763
96,34-XXVI-c,KK 083-04-01/085-04-10_098 - 05978 - 097,096_KK 083-04-01-085-04-10_098 - 05978 - 097.jpg,5036,6092,1929-1930,terrestrial,theodoliet- en bergboussole,crop_096.jpg,4366,4354,62.0,0.0699,0.06315,0.07814,0.20715
97,34-XXVI-d,KK 083-04-01/085-04-10_099 - 05978 - 098,097_KK 083-04-01-085-04-10_099 - 05978 - 098.jpg,5041,6104,1929-1931,terrestrial,theodoliet- en bergboussole,crop_097.jpg,4371,4363,62.0,0.06983,0.06308,0.07798,0.20724
98,34-XXVI-e,KK 083-04-01/085-04-10_100 - 05978 - 099,098_KK 083-04-01-085-04-10_100 - 05978 - 099.jpg,5054,6095,1931,terrestrial,bergboussole,crop_098.jpg,4382,4357,62.0,0.07044,0.06252,0.0781,0.20705
99,34-XXVI-f,KK 083-04-01/085-04-10_101 - 05978 - 100,099_KK 083-04-01-085-04-10_101 - 05978 - 100.jpg,5065,6122,1931,terrestrial,bergboussole,crop_099.jpg,4391,4376,62.0,0.07029,0.06278,0.07775,0.20745
100,34-XXVI-g,KK 083-04-01/085-04-10_102 - 05978 - 101,100_KK 083-04-01-085-04-10_102 - 05978 - 101.jpg,5083,6126,1930-1931,terrestrial,bergboussole,crop_100.jpg,4407,4379,62.0,0.07004,0.06295,0.0777,0.20748
101,34-XXVI-h,KK 083-04-01/085-04-10_103 - 05978 - 102,101_KK 083-04-01-085-04-10_103 - 05978 - 102.jpg,5052,6093,1931-1932,terrestrial,theodoliet- en bergboussole,crop_101.jpg,4380,4355,62.0,0.06968,0.06334,0.07812,0.20713
102,34-XXVI-k,KK 083-04-01/085-04-10_104 - 05978 - 103,102_KK 083-04-01-085-04-10_104 - 05978 - 103.jpg,5051,6123,1931,terrestrial,theodoliet- en bergboussole,crop_102.jpg,4379,4377,62.0,0.06969,0.06335,0.07839,0.20676
103,34-XXVI-l,KK 083-04-01/085-04-10_105 - 05978 - 104,103_KK 083-04-01-085-04-10_105 - 05978 - 104.jpg,5063,6096,1931-1932,terrestrial,theodoliet- en bergboussole,crop_103.jpg,4390,4357,62.0,0.07031,0.06261,0.07808,0.20719
104,34-XXVI-m,KK 083-04-01/085-04-10_106 - 05978 - 105,104_KK 083-04-01-085-04-10_106 - 05978 - 105.jpg,5056,6101,1931,terrestrial,theodoliet- en bergboussole,crop_104.jpg,4384,4361,62.0,0.06962,0.06329,0.07802,0.20718
105,34-XXVI-on,KK 083-04-01/085-04-10_107 - 05978 - 106,105_KK 083-04-01-085-04-10_107 - 05978 - 106.jpg,5481,6097,1932,terrestrial,theodoliet- en bergboussole,crop_105.jpg,4752,4358,62.0,0.07006,0.06294,0.07807,0.20715
106,34-XXVI-p,KK 083-04-01/085-04-10_108 - 05978 - 107,106_KK 083-04-01-085-04-10_108 - 05978 - 107.jpg,5043,6095,1932,terrestrial,theodoliet- en bergboussole,crop_106.jpg,4372,4357,62.0,0.0698,0.06326,0.0781,0.20705
107,34-XXVI-q,KK 083-04-01/085-04-10_109 - 05978 - 108,107_KK 083-04-01-085-04-10_109 - 05978 - 108.jpg,5033,6087,1931-1932,terrestrial,theodoliet- en bergboussole,crop_107.jpg,4363,4351,62.0,0.06994,0.06318,0.0782,0.207
108,34-XXVII-b,KK 083-04-01/085-04-10_110 - 05978 - 109,108_KK 083-04-01-085-04-10_110 - 05978 - 109.jpg,5045,6120,1934-1935,terrestrial,bergboussole,crop_108.jpg,4374,4374,62.0,0.07056,0.06244,0.07778,0.20751
109,34-XXVII-c,KK 083-04-01/085-04-10_111 - 05978 - 110,109_KK 083-04-01-085-04-10_111 - 05978 - 110.jpg,5059,6104,1934-1935,terrestrial,bergboussole,crop_109.jpg,4386,4363,62.0,0.07037,0.06266,0.07798,0.20724
110,34-XXVII-d,KK 083-04-01/085-04-10_112 - 05978 - 111,110_KK 083-04-01-085-04-10_112 - 05978 - 111.jpg,5011,6074,1934-1935,terrestrial,bergboussole,crop_110.jpg,4345,4342,62.0,0.07025,0.06266,0.07771,0.20744
111,34-XXVII-f,KK 083-04-01/085-04-10_113 - 05978 - 112,111_KK 083-04-01-085-04-10_113 - 05978 - 112.jpg,5043,6101,1934-1935,terrestrial,bergboussole,crop_111.jpg,4372,4361,62.0,0.0698,0.06326,0.07802,0.20718
112,34-XXVII-g,KK 083-04-01/085-04-10_114 - 05978 - 113,112_KK 083-04-01-085-04-10_114 - 05978 - 113.jpg,5064,6290,1934-1935,terrestrial,bergboussole,crop_112.jpg,4390,4496,62.0,0.0703,0.0628,0.07758,0.20763
113,34-XXVII-h,KK 083-04-01/085-04-10_115 - 05978 - 114,113_KK 083-04-01-085-04-10_115 - 05978 - 114.jpg,5053,6112,1933-1934,terrestrial,theodoliet- en bergboussole,crop_113.jpg,4381,4369,62.0,0.07045,0.06254,0.07788,0.2073
114,34-XXVII-m,KK 083-04-01/085-04-10_116 - 05978 - 115,114_KK 083-04-01-085-04-10_116 - 05978 - 115.jpg,5031,6089,1933-1934,terrestrial,theodoliet- en bergboussole,crop_114.jpg,4362,4353,62.0,0.06997,0.06301,0.07752,0.20758
115,35-XXIV-i,KK 083-04-01/085-04-10_117 - 05978 - 116,115_KK 083-04-01-085-04-10_117 - 05978 - 116.jpg,5033,6079,1931,terrestrial,bergboussole,crop_115.jpg,4363,4345,62.0,0.06994,0.06318,0.0783,0.20694
116,35-XXIV-n,KK 083-04-01/085-04-10_118 - 05978 - 117,116_KK 083-04-01-085-04-10_118 - 05978 - 117.jpg,5039,6085,1931,aerial,bergboussole,crop_116.jpg,4369,4350,62.0,0.06986,0.06311,0.07823,0.2069
117,35-XXV-a,KK 083-04-01/085-04-10_119 - 05978 - 118,117_KK 083-04-01-085-04-10_119 - 05978 - 118.jpg,5100,6080,1930,terrestrial,bergboussole,crop_117.jpg,4421,4346,62.0,0.0698,0.06333,0.07829,0.20691
118,35-XXV-e,KK 083-04-01/085-04-10_120 - 05978 - 119,118_KK 083-04-01-085-04-10_120 - 05978 - 119.jpg,5035,6076,1927-1928,terrestrial,theodoliet- en bergboussole,crop_118.jpg,4365,4344,62.0,0.06991,0.06316,0.07768,0.20738
119,35-XXV-i,KK 083-04-01/085-04-10_121 - 05978 - 120,119_KK 083-04-01-085-04-10_121 - 05978 - 120.jpg,5007,6039,1927-1928,terrestrial,theodoliet boussole en boussole tranche montagne,crop_119.jpg,4341,4365,62.7,0.0703,0.06271,0.07021,0.20699
120,35-XXV-n,KK 083-04-01/085-04-10_122 - 05978 - 121,120_KK 083-04-01-085-04-10_122 - 05978 - 121.jpg,5059,6075,1928-1929,terrestrial,theodoliet- en bergboussole,crop_120.jpg,4386,4343,62.0,0.07037,0.06266,0.0777,0.2074
121,35-XXV-o,KK 083-04-01/085-04-10_123 - 05978 - 122,121_KK 083-04-01-085-04-10_123 - 05978 - 122.jpg,5051,6092,1927-1928,terrestrial,theodoliet boussole en boussole tranche montagne,crop_121.jpg,4379,4354,62.0,0.06969,0.06335,0.07814,0.20715
122,35-XXVI-a,KK 083-04-01/085-04-10_124 - 05978 - 123,122_KK 083-04-01-085-04-10_124 - 05978 - 123.jpg,5017,6074,1930-1931,terrestrial,bergboussole,crop_122.jpg,4349,4342,62.0,0.07016,0.06299,0.07771,0.20744
123,35-XXVI-b,KK 083-04-01/085-04-10_125 - 05978 - 124,123_KK 083-04-01-085-04-10_125 - 05978 - 124.jpg,5005,6064,1930,terrestrial,theodoliet- en bergboussole,crop_123.jpg,4339,4335,62.0,0.07033,0.06274,0.0785,0.20663
124,35-XXVI-e,KK 083-04-01/085-04-10_126 - 05978 - 125,124_KK 083-04-01-085-04-10_126 - 05978 - 125.jpg,5014,6075,1931,terrestrial,bergboussole,crop_124.jpg,4348,4343,62.0,0.06941,0.06342,0.0777,0.2074
125,35-XXVI-f,KK 083-04-01/085-04-10_127 - 05978 - 126,125_KK 083-04-01-085-04-10_127 - 05978 - 126.jpg,5062,6100,1930-1931,terrestrial,theodoliet- en bergboussole,crop_125.jpg,4389,4361,62.0,0.07033,0.06262,0.07803,0.20705
126,35-XXVI-g,KK 083-04-01/085-04-10_128 - 05978 - 127,126_KK 083-04-01-085-04-10_128 - 05978 - 127.jpg,5018,6089,1930-1931,terrestrial,theodoliet- en bergboussole,crop_126.jpg,4350,4353,62.0,0.07015,0.06297,0.07817,0.20693
127,35-XXVI-h,KK 083-04-01/085-04-10_129 - 05978 - 128,127_KK 083-04-01-085-04-10_129 - 05978 - 128.jpg,5051,6117,1930-1931,terrestrial,theodoliet- en bergboussole,crop_127.jpg,4379,4372,62.0,0.06969,0.06335,0.07782,0.20745
